Year,GDP(MYR million),Sector
1/1/2015,1176941,Total GDP
1/1/2015,97539,Agriculture
1/1/2015,103059,Mining & Quarrying
1/1/2015,262379,Manufacturing
1/1/2015,55382,Construction
1/1/2015,643883,Services
1/1/2015,14699,Import Duties
1/1/2016,1229312,Total GDP
1/1/2016,93977,Agriculture
1/1/2016,105368,Mining & Quarrying
1/1/2016,273899,Manufacturing
1/1/2016,59508,Construction
1/1/2016,680561,Services
1/1/2016,16000,Import Duties
1/1/2017,1300769,Total GDP
1/1/2017,99509,Agriculture
1/1/2017,105838,Mining & Quarrying
1/1/2017,290464,Manufacturing
1/1/2017,63522,Construction
1/1/2017,723361,Services
1/1/2017,18076,Import Duties
1/1/2018,1363766,Total GDP
1/1/2018,99637,Agriculture
1/1/2018,103557,Mining & Quarrying
1/1/2018,304843,Manufacturing
1/1/2018,66194,Construction
1/1/2018,772990,Services
1/1/2018,16546,Import Duties
1/1/2019,1423952,Total GDP
1/1/2019,101573,Agriculture
1/1/2019,102887,Mining & Quarrying
1/1/2019,316283,Manufacturing
1/1/2019,66453,Construction
1/1/2019,820576,Services
1/1/2019,16179,Import Duties
1/1/2020,1346249,Total GDP
1/1/2020,99109,Agriculture
1/1/2020,92879,Mining & Quarrying
1/1/2020,307606,Manufacturing
1/1/2020,53616,Construction
1/1/2020,777693,Services
1/1/2020,15346,Import Duties
1/1/2021,1390882,Total GDP
1/1/2021,98843,Agriculture
1/1/2021,93717,Mining & Quarrying
1/1/2021,336724,Manufacturing
1/1/2021,50839,Construction
1/1/2021,795116,Services
1/1/2021,15642,Import Duties
1/1/2022,1514139,Total GDP
1/1/2022,100082,Agriculture
1/1/2022,97001,Mining & Quarrying
1/1/2022,364124,Manufacturing
1/1/2022,53426,Construction
1/1/2022,882723,Services
1/1/2022,16784,Import Duties
1/1/2023,1567974,Total GDP
1/1/2023,100812,Agriculture
1/1/2023,97513,Mining & Quarrying
1/1/2023,366694,Manufacturing
1/1/2023,56659,Construction
1/1/2023,927904,Services
1/1/2023,18392,Import Duties
