Year,GDP(MYR million),Sector
2015,63852,Crops
2015,12694,Livestock
2015,8810,Forestry and logging
2015,12181,Fishing
2015,46526,Crude oil and condensate
2015,49119,Natural gas 
2015,7414,Other mining & quarrying and supporting services
2015,32738,"Oils and fats from vegetables & animals, processed foods, beverages and tobacco products"
2015,4923,"Textiles, clothing and leather products"
2015,13858,"Wood products, furniture, paper products and printing"
2015,78307,"Petroleum, chemical, rubber and plastic products"
2015,31572,"Non-metallic mineral products, base metals and fabricated metal products"
2015,70245,"Electrical, electronic and optical products"
2015,30738,"Transportation equipment, other manufacturing and repair"
2015,30606,Buildings
2015,15373,Civil engineering
2015,9402,Specialised construction activities
2015,136070,"Utilities, transportation & storage and information & communication"
2015,220242,"Wholesale and retail trade, food & beverage and accommodation"
2015,130064,"Finance and insurance, real estate and business services"
2015,57724,Other services
2015,99783,Government services
2016,59748,Crops
2016,13154,Livestock
2016,8642,Forestry and logging
2016,12433,Fishing
2016,46821,Crude oil and condensate
2016,50607,Natural gas 
2016,7940,Other mining & quarrying and supporting services
2016,33679,"Oils and fats from vegetables & animals, processed foods, beverages and tobacco products"
2016,5264,"Textiles, clothing and leather products"
2016,14452,"Wood products, furniture, paper products and printing"
2016,81717,"Petroleum, chemical, rubber and plastic products"
2016,32907,"Non-metallic mineral products, base metals and fabricated metal products"
2016,75556,"Electrical, electronic and optical products"
2016,30325,"Transportation equipment, other manufacturing and repair"
2016,31746,Buildings
2016,17791,Civil engineering
2016,9972,Specialised construction activities
2016,145176,"Utilities, transportation & storage and information & communication"
2016,234538,"Wholesale and retail trade, food & beverage and accommodation"
2016,135688,"Finance and insurance, real estate and business services"
2016,60538,Other services
2016,104620,Government services
2017,66092,Crops
2017,13827,Livestock
2017,7266,Forestry and logging
2017,12325,Fishing
2017,45807,Crude oil and condensate
2017,51492,Natural gas 
2017,8539,Other mining & quarrying and supporting services
2017,37019,"Oils and fats from vegetables & animals, processed foods, beverages and tobacco products"
2017,5682,"Textiles, clothing and leather products"
2017,15088,"Wood products, furniture, paper products and printing"
2017,84999,"Petroleum, chemical, rubber and plastic products"
