Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (current US$),2962907263,2983635196,3092429050,3276184358,3395798883,2558906304,3103184102,3544707788,
Afghanistan,AFG,GDP (current US$),19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14266499430,14502158192,
Africa Eastern and Southern,AFE,GDP (current US$),8.99E+11,8.30E+11,9.40E+11,1.01E+12,1.01E+12,9.29E+11,1.09E+12,1.18E+12,1.24E+12
Africa Western and Central,AFW,GDP (current US$),7.69E+11,6.92E+11,6.86E+11,7.68E+11,8.24E+11,7.87E+11,8.46E+11,8.77E+11,7.97E+11
Albania,ALB,GDP (current US$),11386853113,11861199831,13019726212,15156424015,15401826127,15162734205,17930565119,18916378861,22977677861
Algeria,DZA,GDP (current US$),1.87E+11,1.81E+11,1.90E+11,1.95E+11,1.93E+11,1.65E+11,1.86E+11,2.26E+11,2.40E+11
Samoa,ASM,GDP (current US$),673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,
Andorra,AND,GDP (current US$),2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324683012,3380602043,3727673593
Angola,AGO,GDP (current US$),90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,1.04E+11,84722957642
Antigua and Barbuda,ATG,GDP (current US$),1437755556,1489692593,1531151852,1661529630,1725351852,1410796296,1601366667,1867733333,2033085185
Argentina,ARG,GDP (current US$),5.95E+11,5.58E+11,6.44E+11,5.25E+11,4.48E+11,3.86E+11,4.88E+11,6.31E+11,6.41E+11
Armenia,ARM,GDP (current US$),10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513474648,24212134631
Australia,AUS,GDP (current US$),1.35E+12,1.21E+12,1.33E+12,1.43E+12,1.39E+12,1.33E+12,1.56E+12,1.69E+12,1.72E+12
Austria,AUT,GDP (current US$),3.82E+11,3.96E+11,4.17E+11,4.55E+11,4.45E+11,4.35E+11,4.79E+11,4.71E+11,5.16E+11
Azerbaijan,AZE,GDP (current US$),53076235355,37866996883,40866627352,47112470052,48174235294,42693000000,54825411765,78807470588,72356176471
Bahamas,BHS,GDP (current US$),11671900000,11745100000,12236700000,12615800000,13016200000,9958200000,11368900000,13136400000,14338500000
Bahrain,BHR,GDP (current US$),31125851064,32250132979,35423643617,37802005319,38653318085,34621807713,39288670213,44383297872,43205000000
Bangladesh,BGD,GDP (current US$),1.95E+11,2.65E+11,2.94E+11,3.21E+11,3.51E+11,3.74E+11,4.16E+11,4.60E+11,4.37E+11
